transactionId,payoutId,salesRecordReference,transactionType,bookingEntry,transactionDate,transactionStatus,transactionMemo,paymentsEntity,references,feeType,amount.value,amount.currency,orderId,orderLineItems,buyer.username,totalFeeBasisAmount.value,totalFeeBasisAmount.currency,totalFeeAmount.value,totalFeeAmount.currency,ebayCollectedTaxAmount.value,ebayCollectedTaxAmount.currency
FEE-7632905136219_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:36:28.528Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270813407', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632904363219_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:35:48.031Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270813182', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632904463019_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:35:46.337Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270812696', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632900773119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:33:35.877Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270808740', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632899848119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:33:10.621Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270807601', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632855807519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:05:15.043Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270737671', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632854697919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:04:47.318Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270737262', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632852369519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:03:37.265Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270736785', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632850411319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:03:08.698Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270735027', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632849678319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:03:03.515Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270734705', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632848720919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:02:05.549Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270734210', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632847757319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T22:00:59.660Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270733106', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632726770319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:56:15.792Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270579716', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632704029119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:43:29.053Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270549578', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632684616419_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:31:43.403Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270528085', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632683011919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:30:35.539Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270525116', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632675030119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:26:53.509Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270510569', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632674125119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:26:08.482Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270509253', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632673044519_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:25:06.567Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270506077', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632671582319_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:24:05.511Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270504622', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632670611019_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:23:43.071Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270502977', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632668675119_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:22:55.021Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270498923', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632665437919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:20:32.929Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270493764', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
FEE-7632664082919_11,7417074883,0,NON_SALE_CHARGE,DEBIT,2026-03-28T20:19:37.165Z,PAYOUT,Insertion Fee,,"[{'referenceId': '358270491390', 'referenceType': 'ITEM_ID'}]",INSERTION_FEE,0.11,USD,,,,,,,,,
